"00:00.0"
"01:00.0"
"02:00.0"
"03:00.0"
"04:00.0"
"05:00.0"
"06:00.0"
"07:00.0"
"08:00.0"
"09:00.0"
"10:00.0"
"11:00.0"
"12:00.0"
"13:00.0"
"14:00.0"
"15:00.0"
"16:00.0"
"17:00.0"
"18:00.0"
"19:00.0"
"20:00.0"
"21:00.0"
"22:00.0"
"23:00.0"
"24:00.0"
"25:00.0"
"26:00.0"
"27:00.0"
"28:00.0"
"29:00.0"
"30:00.0"
"31:00.0"
"32:00.0"
"33:00.0"
"34:00.0"
"35:00.0"
"36:00.0"
"37:00.0"
"38:00.0"
"39:00.0"
"40:00.0"
"41:00.0"
"42:00.0"
"43:00.0"
"44:00.0"
"45:00.0"
"46:00.0"
"47:00.0"
"48:00.0"
"49:00.0"
"50:00.0"
"51:00.0"
"52:00.0"
"53:00.0"
"54:00.0"
"55:00.0"
"56:00.0"
"57:00.0"
"58:00.0"
"59:00.0"
"Al Markhiya"
"Al Rayyan"
"Al Sheehaniya"
"Al Thumama"
"Industrial Area"
"Industrial1"
"Industrial2"
"Industrial3"
"Markhiya1"
"Markhiya2"
"Rayyan1"
"Rayyan2"
"Rayyan3"
"Rayyan4"
"Rayyan5"
"Sheehaniya1"
"Thumama1"
"Thumama2"
"Thumama3"
